Model,RMSE_Before,RMSE_After,Δ_RMSE,MAE_Before,MAE_After,Δ_MAE,R2_Before,R2_After,Δ_R2
Decision Tree Regressor,1.2408,1.2453,0.0045000000000001705,0.9151,0.9144,-0.0007000000000000339,-0.7637,-0.7764,-0.012699999999999934
Gradient Boosting Regressor,0.857,0.8574,0.00040000000000006697,0.6298,0.63,0.00019999999999997797,0.1586,0.1578,-0.0007999999999999952
Lasso Regression,0.8818,0.8771,-0.0047000000000000375,0.653,0.6486,-0.0044000000000000705,0.1092,0.1186,0.009399999999999992
Linear Regression,0.8752,0.874,-0.0011999999999999789,0.6442,0.6438,-0.00039999999999995595,0.1225,0.125,0.0025000000000000022
Random Forest Regressor,0.8639,0.8654,0.0014999999999999458,0.6401,0.6418,0.0017000000000000348,0.1451,0.1421,-0.0030000000000000027
Ridge Regression,0.8751,0.8739,-0.0011999999999999789,0.6441,0.6439,-0.00019999999999997797,0.1227,0.1251,0.0023999999999999855
SVR,3.0535,0.8878,-2.1657,2.9003,0.6417,-2.2586,-9.6805,0.0972,9.777700000000001
