Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_Accuracy_Mean,Train_Time_s
Logistic Regression,0.657,0.671,0.7005,0.6855,0.7078,0.6514,0.025
KNN,0.6059,0.6374,0.6062,0.6214,0.6405,0.6094,0.003
SVM,0.5356,0.5607,0.5996,0.5795,0.5527,0.5636,37.525
Decision Tree,0.5697,0.5979,0.5909,0.5944,0.5682,0.5814,0.734
Random Forest,0.6623,0.6744,0.7098,0.6916,0.7214,0.6696,1.247
Gradient Boosting,0.6652,0.6735,0.723,0.6974,0.7259,0.6696,13.478
AdaBoost,0.6609,0.6713,0.7143,0.6921,0.7172,0.659,4.973
Naive Bayes,0.5682,0.7233,0.3089,0.4329,0.6767,0.5696,0.01
