Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_Accuracy_Mean,Train_Time_s
Logistic Regression,0.6085,0.618,0.6975,0.6553,0.6385,0.6087,1.014
KNN,0.563,0.5905,0.5906,0.5906,0.5789,0.5684,0.003
SVM,0.5316,0.5329,0.9884,0.6925,0.4784,0.5267,45.827
Decision Tree,0.5706,0.6003,0.584,0.5921,0.5696,0.5828,0.891
Random Forest,0.6565,0.6674,0.71,0.688,0.7127,0.6674,1.335
Gradient Boosting,0.6663,0.6741,0.7251,0.6987,0.7271,0.6696,16.574
AdaBoost,0.6591,0.6699,0.7119,0.6903,0.7172,0.6586,6.147
Naive Bayes,0.5033,0.69,0.1257,0.2127,0.6276,0.5094,0.01
