Model,Accuracy_Before,Accuracy_After,Δ_Accuracy,Precision_Before,Precision_After,Δ_Precision,Recall_Before,Recall_After,Δ_Recall,F1_Before,F1_After,Δ_F1,ROC_AUC_Before,ROC_AUC_After,Δ_ROC_AUC
AdaBoost,0.6591,0.6609,0.0018000000000000238,0.6699,0.6713,0.0013999999999999568,0.7119,0.7143,0.0024000000000000687,0.6903,0.6921,0.0018000000000000238,0.7172,0.7172,0.0
Decision Tree,0.5706,0.5697,-0.0009000000000000119,0.6003,0.5979,-0.0023999999999999577,0.584,0.5909,0.006900000000000017,0.5921,0.5944,0.0023000000000000798,0.5696,0.5682,-0.0013999999999999568
Gradient Boosting,0.6663,0.6652,-0.0010999999999999899,0.6741,0.6735,-0.0006000000000000449,0.7251,0.723,-0.0020999999999999908,0.6987,0.6974,-0.0012999999999999678,0.7271,0.7259,-0.0011999999999999789
KNN,0.563,0.6059,0.04290000000000005,0.5905,0.6374,0.04689999999999994,0.5906,0.6062,0.015599999999999947,0.5906,0.6214,0.03079999999999994,0.5789,0.6405,0.06159999999999999
Logistic Regression,0.6085,0.657,0.04849999999999999,0.618,0.671,0.05300000000000005,0.6975,0.7005,0.0030000000000000027,0.6553,0.6855,0.030200000000000005,0.6385,0.7078,0.06930000000000003
Naive Bayes,0.5033,0.5682,0.06490000000000007,0.69,0.7233,0.03330000000000011,0.1257,0.3089,0.1832,0.2127,0.4329,0.2202,0.6276,0.6767,0.04909999999999992
Random Forest,0.6565,0.6623,0.005800000000000027,0.6674,0.6744,0.007000000000000006,0.71,0.7098,-0.00019999999999997797,0.688,0.6916,0.0036000000000000476,0.7127,0.7214,0.008700000000000041
SVM,0.5316,0.5356,0.0040000000000000036,0.5329,0.5607,0.027799999999999936,0.9884,0.5996,-0.3887999999999999,0.6925,0.5795,-0.11299999999999999,0.4784,0.5527,0.07429999999999998
